,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
4,Värnfåglarna,Alpkaja,Kontor,3312,null,5.594139493,6.550993357,61.14221014,54.70078502,66.73634964,61.25177838,0.02014986402
170,Dunrallarna,Alpkaja,Kontor,3312,null,5.594139493,6.550993357,61.14221014,54.70078502,66.73634964,61.25177838,0.02014986402
201,Trappfåglarna,Rödstrupig Sångare,Flerbostadshus,2295,1938,17.83449673,12.11869978,28.03398693,38.71851852,45.86848366,50.8372183,0.01998626739
225,Trappfåglarna,Polyglottsångare,Flerbostadshus,4140,null,14.3590256,12.17916353,67.71653498,268.8508033,82.07556059,281.0299668,0.01982501463
69,Fasanfåglarna,Vitnackad Svärta,Kontor,4382,1984,32.23371748,27.46405294,52.59900319,42.83127978,84.83272067,70.29533272,0.01935936118
3,Värnfåglarna,Storlabb,Kontor,5519,1966,22.16435007,16.75762711,84.59829679,66.72495017,106.7626469,83.48257728,0.01934456366
169,Dunrallarna,Storlabb,Kontor,5519,1966,22.16435007,16.75762711,84.59829679,66.72495017,106.7626469,83.48257728,0.01934456366
57,Tofsvaktlana,Bergsångare,Kontor,4468,1973,27.45055506,27.1951231,58.93464637,50.91092211,86.38520143,78.10604521,0.01933419907
228,Trappfåglarna,Östlig Gulärla,Flerbostadshus,4306,null,19.28311657,14.4685555,63.10097832,63.00744619,82.38409489,77.47600169,0.01913239547
80,Trappfåglarna,Entita,Kontor,4924,1962,19.67587328,21.23330626,69.82737612,73.11941511,89.50324939,94.35272136,0.01817693936
185,Kaguerna,Spetsbergsgrissla,Kontor,3860,null,37.54235751,35.36512953,32.18468886,28.20725389,69.72704637,63.57238342,0.01806400165
15,Änderna,Sånglärka,Kontor,4118,null,21.60460418,21.66745993,52.78290432,59.74016513,74.3875085,81.40762506,0.01806398944
158,Ralltranorna,Ljungpipare,Kontor,6950,null,54.53726619,46.22848921,66.31971223,55.28374101,120.8569784,101.5122302,0.0173894933
16,Änderna,Svartvit Flugsnappare,Kontor,4091,null,26.16888085,25.01476623,43.90645904,37.4396792,70.0753399,62.45444542,0.01712914688
195,Tropikfåglarna,Lärkfalk,Flerbostadshus,4341,null,28.74479383,29.35206174,44.78230822,42.12163096,73.52710205,71.4736927,0.01693782586
123,Ralltranorna,Trana,Kontor,2789,null,9.144137684,10.83004661,37.31388016,30.49838652,46.45801784,41.32843313,0.01665758976
9,Värnfåglarna,Kornknarr,Kontor,3458,null,17.10884905,16.81555813,40.24667438,31.81552058,57.35552342,48.6310787,0.01658632835
175,Dunrallarna,Kornknarr,Kontor,3458,null,17.10884905,16.81555813,40.24667438,31.81552058,57.35552342,48.6310787,0.01658632835
55,Tofsvaktlana,Spetsbergsgås,Kontor,6606,1980,47.37511353,43.81002119,61.79942477,43.74008477,109.1745383,87.55010596,0.01652657256
48,Tofsvaktlana,Ökennattskärra,Kontor,5637,1962,31.10441724,32.20936243,59.92426213,56.67897374,91.02867938,88.88833617,0.01614842636
7,Värnfåglarna,Ringnäbbad Mås,Kontor,5517,null,23.01807504,24.22266993,65.16766359,46.49447163,88.18573863,70.71714156,0.01598436444
173,Dunrallarna,Ringnäbbad Mås,Kontor,5517,null,23.01807504,24.22266993,65.16766359,46.49447163,88.18573863,70.71714156,0.01598436444
6,Värnfåglarna,Rödspov,Kontor,6400,1988,32.1236875,34.7089375,68.7641098,60.00658013,100.8877973,94.71551763,0.01576371833
172,Dunrallarna,Rödspov,Kontor,6400,1988,32.1236875,34.7089375,68.7641098,60.00658013,100.8877973,94.71551763,0.01576371833
148,Ralltranorna,Stjärtmes,Kontor,4390,1929,23.37266515,20.41162686,44.8929385,31.93849658,68.26560364,52.35012345,0.0155502514
140,Ralltranorna,Småtrapp,Kontor,4634,1991,27.61056322,26.31224741,42.58523953,36.43504532,70.19580276,62.74729273,0.01514799369
25,Storfotshönsen,Ringduva,Kontor,10400,null,57.08589581,57.49903808,97.39038462,78.99519231,154.4762804,136.4942304,0.0148534885
138,Ralltranorna,Kentsk/Cabots Tärna,Kontor,4449,1964,44.16564384,39.45650498,21.67894682,23.72510522,65.84459066,63.1816102,0.01479986304
318,Tranorna,Mindre Korsnäbb,Flerbostadshus,4080,1971,59.94901961,57.1004902,0,1.909313725,59.94901961,59.00980392,0.01469338716
306,Tranorna,Vinterhämpling,Flerbostadshus,8535,2000,53.52039789,51.47666784,71.79964851,49.57234915,125.3200464,101.049017,0.01468307515
61,Tofsvaktlana,Kolymasnäppa,Kontor,7393,null,54.23301393,53.16062654,53.57730473,42.00189368,107.8103187,95.16252022,0.01458275648
134,Ralltranorna,Större Lira,Kontor,13030,1990,96.16978131,95.99410687,90.84691849,83.13280318,187.0166998,179.1269101,0.01435277819
30,Trädhönsen,Mindre Flugsnappare,Kontor,6000,1922,24.1141245,23.768341,59.07916667,52.98666667,83.19329117,76.75500767,0.01386554853
280,Lommarna,Sillgrissla,Flerbostadshus,1388,2019,3.100951009,4.976585014,15.83069164,62.19092219,18.93164265,67.1675072,0.013639512
83,Doppingarna,Gråsiska,Kontor,7470,1888,40.7526751,41.07368352,58.41137885,52.22091583,99.16405395,93.29459935,0.01327497375
281,Lommarna,Skärsnäppa,Flerbostadshus,1388,2019,3.597471182,5.462305476,14.80835735,59.86815562,18.40582853,65.3304611,0.01326068338
161,Ralltranorna,Trädgårdsträdkrypare,Kontor,5030,1990,26.30119284,24.82875062,39.6640159,35.49860835,65.96520875,60.32735897,0.01311435562
141,Ralltranorna,Ängspiplärka,Kontor,2074,1991,5.75168756,6.533269045,21.44599807,22.22131148,27.19768563,28.75458052,0.0131136382
332,Tranorna,Spillkråka,Flerbostadshus,7734,1953,27.78186191,32.01700957,73.60796483,63.87607965,101.3898267,95.89308922,0.01310962332
